Size,Indices,AIC,BIC,CICOMP
4,"Temp_C,pH,Ca_uM,Cl_uM",2425.609903547015,2448.3496645723985,2476.5056257451593
4,"Temp_C,pH,Mg_uM,Na_uM",2618.1756137750695,2640.915374800453,2669.0685374664563
4,"Temp_C,pH,Mg_uM,K_uM",2682.5277826847373,2705.2675437101207,2733.4270317234354
4,"Temp_C,pH,Mg_uM,SO4_uM",2688.576971581957,2711.3167326073403,2739.473853762602
4,"Temp_C,pH,Mg_uM,Cl_uM",2629.805826682365,2652.5455877077484,2680.6780169414806
4,"Temp_C,pH,Na_uM,K_uM",2483.3722645470502,2506.1120255724336,2534.221555540957
4,"Temp_C,pH,Na_uM,SO4_uM",2222.7244640680565,2245.46422509344,2273.538553899395
4,"Temp_C,pH,Na_uM,Cl_uM",2647.661808247716,2670.4015692730995,2698.5525649613105
4,"Temp_C,pH,K_uM,SO4_uM",2625.4461350682873,2648.1858960936706,2676.3361879037498
4,"Temp_C,pH,K_uM,Cl_uM",2559.534265339894,2582.274026365277,2610.2418620163357
4,"Temp_C,pH,SO4_uM,Cl_uM",2510.487024149337,2533.22678517472,2561.3555034241654
4,"Temp_C,DOC_M,DIC_mM,Ca_uM",2523.7042285560947,2546.443989581478,2574.6038289323064
4,"Temp_C,DOC_M,DIC_mM,Mg_uM",2539.5979315828968,2562.33769260828,2590.4975332489817
4,"Temp_C,DOC_M,DIC_mM,Na_uM",2550.399798470577,2573.1395594959604,2601.2994001794746
4,"Temp_C,DOC_M,DIC_mM,K_uM",2406.087881939261,2428.8276429646444,2456.9874834413235
4,"Temp_C,DOC_M,DIC_mM,SO4_uM",2544.6075647878997,2567.347325813283,2595.507166435589
4,"Temp_C,DOC_M,DIC_mM,Cl_uM",2133.597770848784,2156.3375318741673,2184.4973725553577
4,"Temp_C,DOC_M,Ca_uM,Mg_uM",2567.52990503819,2590.2696660635734,2618.429506434887
4,"Temp_C,DOC_M,Ca_uM,Na_uM",2388.1466939153247,2410.886454940708,2439.0462952923317
4,"Temp_C,DOC_M,Ca_uM,K_uM",2363.570518972477,2386.3102799978606,2414.470120417265
4,"Temp_C,DOC_M,Ca_uM,SO4_uM",2325.5503807246723,2348.2901417500557,2376.4499816648026
4,"Temp_C,DOC_M,Ca_uM,Cl_uM",2321.728021986831,2344.4677830122146,2372.6276236949066
4,"Temp_C,DOC_M,Mg_uM,Na_uM",2562.371497840368,2585.1112588657516,2613.2710995476687
4,"Temp_C,DOC_M,Mg_uM,K_uM",2295.650265394728,2318.3900264201116,2346.5498669014055
4,"Temp_C,DOC_M,Mg_uM,SO4_uM",2578.0669671570586,2600.806728182442,2628.9665688636255
4,"Temp_C,DOC_M,Mg_uM,Cl_uM",2354.282632663461,2377.022393688844,2405.182234370867
4,"Temp_C,DOC_M,Na_uM,K_uM",2333.4346336085173,2356.1743946339006,2384.334235297868
4,"Temp_C,DOC_M,Na_uM,SO4_uM",2455.2276743537573,2477.9674353791406,2506.127275959755
4,"Temp_C,DOC_M,Na_uM,Cl_uM",2329.5963643177633,2352.3361253431467,2380.495965686253
4,"Temp_C,DOC_M,K_uM,SO4_uM",2350.28212088977,2373.0218819151532,2401.181722015122
4,"Temp_C,DOC_M,K_uM,Cl_uM",2331.2643410970895,2354.004102122473,2382.16392989499
4,"Temp_C,DOC_M,SO4_uM,Cl_uM",2322.5670359861833,2345.3067970115667,2373.466637693795
4,"Temp_C,DIC_mM,Ca_uM,Mg_uM",2028.1995044587593,2050.9392654841427,2078.5760454733477
4,"Temp_C,DIC_mM,Ca_uM,Na_uM",2387.075190514273,2409.8149515396562,2437.8030867306625
4,"Temp_C,DIC_mM,Ca_uM,K_uM",2561.5626293592295,2584.302390384613,2612.4424464990166
4,"Temp_C,DIC_mM,Ca_uM,SO4_uM",2239.3021098710783,2262.0418708964617,2290.1785584394
4,"Temp_C,DIC_mM,Ca_uM,Cl_uM",2454.5335408701126,2477.273301895496,2505.1053550538654
4,"Temp_C,DIC_mM,Mg_uM,Na_uM",2634.466503450639,2657.206264476022,2685.225158041298
4,"Temp_C,DIC_mM,Mg_uM,K_uM",2626.875211530638,2649.6149725560213,2673.569974594379
4,"Temp_C,DIC_mM,Mg_uM,SO4_uM",2348.6734006702163,2371.4131616955997,2392.320597859563
4,"Temp_C,DIC_mM,Mg_uM,Cl_uM",2641.8730951019443,2664.6128561273276,2691.358728732319
4,"Temp_C,DIC_mM,Na_uM,K_uM",2547.351227100338,2570.090988125721,2597.466722088013
4,"Temp_C,DIC_mM,Na_uM,SO4_uM",2457.2523288308093,2479.9920898561927,2502.698361559352
4,"Temp_C,DIC_mM,Na_uM,Cl_uM",2641.6246786892084,2664.3644397145918,2692.34621661188
4,"Temp_C,DIC_mM,K_uM,SO4_uM",2616.3281287408918,2639.067889766275,2666.3255180220035
4,"Temp_C,DIC_mM,K_uM,Cl_uM",2630.574296279064,2653.3140573044475,2669.0828553682463
4,"Temp_C,DIC_mM,SO4_uM,Cl_uM",2580.907106164419,2603.6468671898024,2628.3786164891626
4,"Temp_C,Ca_uM,Mg_uM,Na_uM",2333.937259760986,2356.677020786369,2384.0714819521977
4,"Temp_C,Ca_uM,Mg_uM,K_uM",2658.8273120723125,2681.567073097696,2709.509306138306
4,"Temp_C,Ca_uM,Mg_uM,SO4_uM",2140.149832858445,2162.889593883828,2191.0389359577466
4,"Temp_C,Ca_uM,Mg_uM,Cl_uM",2425.1126902766296,2447.852451302013,2475.162689002666
4,"Temp_C,Ca_uM,Na_uM,K_uM",2339.8768329982818,2362.616594023665,2390.713307695051
4,"Temp_C,Ca_uM,Na_uM,SO4_uM",2344.7288266794826,2367.468587704866,2395.6205863105665
4,"Temp_C,Ca_uM,Na_uM,Cl_uM",2339.1681598730506,2361.907920898434,2389.452595034628
4,"Temp_C,Ca_uM,K_uM,SO4_uM",2322.646276998158,2345.3860380235415,2373.5185913342066
4,"Temp_C,Ca_uM,K_uM,Cl_uM",2339.859506486529,2362.5992675119123,2390.743227284274
4,"Temp_C,Ca_uM,SO4_uM,Cl_uM",2321.892315796244,2344.6320768216274,2372.7878784530185
4,"Temp_C,Mg_uM,Na_uM,K_uM",2542.430262767161,2565.1700237925443,2576.6422197446695
4,"Temp_C,Mg_uM,Na_uM,SO4_uM",2442.4864032773685,2465.226164302752,2490.8320180947576
4,"Temp_C,Mg_uM,Na_uM,Cl_uM",2622.3959333023117,2645.135694327695,2672.885479821295
4,"Temp_C,Mg_uM,K_uM,SO4_uM",2681.2484588199777,2703.988219845361,2731.5751795089645
4,"Temp_C,Mg_uM,K_uM,Cl_uM",2645.3461302026553,2668.0858912280387,2692.7815658391632
4,"Temp_C,Mg_uM,SO4_uM,Cl_uM",2614.525443687926,2637.2652047133092,2645.394512835775
4,"Temp_C,Na_uM,K_uM,SO4_uM",2358.678191506406,2381.4179525317895,2409.217123744972
4,"Temp_C,Na_uM,K_uM,Cl_uM",2350.0337906843856,2372.773551709769,2400.9226120612007
4,"Temp_C,Na_uM,SO4_uM,Cl_uM",2368.753345935107,2391.4931069604904,2419.0290165721
4,"Temp_C,K_uM,SO4_uM,Cl_uM",2436.316454187778,2459.0562152131615,2485.2902446102867
4,"pH,DOC_M,DIC_mM,Ca_uM",2160.6295960914745,2183.369357116858,2211.5291687006797
4,"pH,DOC_M,DIC_mM,Mg_uM",2164.773201607572,2187.5129626329554,2215.672779885782
4,"pH,DOC_M,DIC_mM,Na_uM",2188.9864451800536,2211.726206205437,2239.8860292506074
4,"pH,DOC_M,DIC_mM,K_uM",2147.481474341904,2170.221235367287,2198.3810657287413
4,"pH,DOC_M,DIC_mM,SO4_uM",2194.505467489673,2217.245228515056,2245.4050584114984
4,"pH,DOC_M,DIC_mM,Cl_uM",2194.5589928139048,2217.298753839288,2245.458565608845
4,"pH,DOC_M,Ca_uM,Mg_uM",2160.9210419577034,2183.660802983087,2211.820555215412
4,"pH,DOC_M,Ca_uM,Na_uM",2115.0150606220827,2137.754821647466,2165.9146547682953
4,"pH,DOC_M,Ca_uM,K_uM",2160.2471688354476,2182.986929860831,2211.146726055679
4,"pH,DOC_M,Ca_uM,SO4_uM",2132.7749013683874,2155.514662393771,2183.674242274858
4,"pH,DOC_M,Ca_uM,Cl_uM",2147.3029024939005,2170.042663519284,2198.202462103768
4,"pH,DOC_M,Mg_uM,Na_uM",2182.4920234922506,2205.231784517634,2233.391596578823
4,"pH,DOC_M,Mg_uM,K_uM",2123.5445273036053,2146.2842883289886,2174.444080424539
4,"pH,DOC_M,Mg_uM,SO4_uM",2182.738977845823,2205.478738871206,2233.6385026819094
4,"pH,DOC_M,Mg_uM,Cl_uM",2182.5474902949372,2205.2872513203206,2233.4470405955217
4,"pH,DOC_M,Na_uM,K_uM",2155.1345853949124,2177.8743464202958,2206.0341584509815
4,"pH,DOC_M,Na_uM,SO4_uM",2186.900108122313,2209.6398691476966,2237.799701570748
4,"pH,DOC_M,Na_uM,Cl_uM",2173.8897438319323,2196.6295048573156,2224.789333008952
4,"pH,DOC_M,K_uM,SO4_uM",2162.4444192935302,2185.1841803189136,2213.343943759472
4,"pH,DOC_M,K_uM,Cl_uM",2161.511732020975,2184.2514930463585,2212.4113007166725
4,"pH,DOC_M,SO4_uM,Cl_uM",2190.1119860916206,2212.851747117004,2241.0115817999326
4,"pH,DIC_mM,Ca_uM,Mg_uM",2365.664832416953,2388.404593442336,2416.562629602531
4,"pH,DIC_mM,Ca_uM,Na_uM",2159.2401161125185,2181.979877137902,2209.9530289136605
4,"pH,DIC_mM,Ca_uM,K_uM",2445.079377984876,2467.8191390102593,2495.9765450005693
4,"pH,DIC_mM,Ca_uM,SO4_uM",2744.9729033834033,2767.7126644087866,2795.8707350539917
4,"pH,DIC_mM,Ca_uM,Cl_uM",2248.392094398146,2271.1318554235295,2299.1301594370975
4,"pH,DIC_mM,Mg_uM,Na_uM",2641.1822192985824,2663.9219803239657,2692.0802351039915
4,"pH,DIC_mM,Mg_uM,K_uM",2327.541642383255,2350.281403408638,2378.3963494160457
4,"pH,DIC_mM,Mg_uM,SO4_uM",2563.4228260422246,2586.162587067608,2614.212588530643
4,"pH,DIC_mM,Mg_uM,Cl_uM",2661.834908990626,2684.5746700160093,2712.3880663117984
4,"pH,DIC_mM,Na_uM,K_uM",2459.2704248253494,2482.010185850733,2510.124960995651
4,"pH,DIC_mM,Na_uM,SO4_uM",2497.438310158505,2520.1780711838883,2548.315494561031
4,"pH,DIC_mM,Na_uM,Cl_uM",2651.638020003146,2674.377781028529,2702.5364868551264
4,"pH,DIC_mM,K_uM,SO4_uM",2612.8711556014746,2635.610916626858,2663.7499056603283
4,"pH,DIC_mM,K_uM,Cl_uM",2644.752817861109,2667.4925788864925,2695.3817215640925
4,"pH,DIC_mM,SO4_uM,Cl_uM",2497.7389279225736,2520.478688947957,2548.6124420083
4,"pH,Ca_uM,Mg_uM,Na_uM",2185.393730125925,2208.133491151308,2236.292840564963
4,"pH,Ca_uM,Mg_uM,K_uM",2552.191949045608,2574.9317100709914,2603.03517075664
4,"pH,Ca_uM,Mg_uM,SO4_uM",2895.5700917742556,2918.309852799639,2946.353190803038
4,"pH,Ca_uM,Mg_uM,Cl_uM",2260.3379469662873,2283.0777079916706,2311.2327152135745
4,"pH,Ca_uM,Na_uM,K_uM",2206.31408404675,2229.0538450721333,2257.2122817881686
4,"pH,Ca_uM,Na_uM,SO4_uM",2197.215328998115,2219.9550900234985,2248.0696584315942
4,"pH,Ca_uM,Na_uM,Cl_uM",2168.4975052953255,2191.237266320709,2219.397106833909
4,"pH,Ca_uM,K_uM,SO4_uM",1197.900939272134,1220.6407002975177,1248.8004650075882
4,"pH,Ca_uM,K_uM,Cl_uM",2331.105183745142,2353.844944770525,2382.0044724186773
4,"pH,Ca_uM,SO4_uM,Cl_uM",2499.3151628743785,2522.054923899762,2550.195379703109
4,"pH,Mg_uM,Na_uM,K_uM",2336.0227136318263,2358.7624746572096,2386.915806594991
4,"pH,Mg_uM,Na_uM,SO4_uM",2460.0371373741154,2482.776898399499,2510.907326171463
4,"pH,Mg_uM,Na_uM,Cl_uM",2630.359519959342,2653.0992809847253,2681.258964552492
4,"pH,Mg_uM,K_uM,SO4_uM",2764.083835495552,2786.8235965209356,2814.979777448431
4,"pH,Mg_uM,K_uM,Cl_uM",2504.873974653773,2527.6137356791564,2555.770219546794
4,"pH,Mg_uM,SO4_uM,Cl_uM",2502.9280531200143,2525.6678141453976,2553.793414482813
4,"pH,Na_uM,K_uM,SO4_uM",2370.6472951469254,2393.387056172309,2421.499373665901
4,"pH,Na_uM,K_uM,Cl_uM",2230.652229453321,2253.3919904787044,2281.5508056129506
4,"pH,Na_uM,SO4_uM,Cl_uM",2493.9500014207165,2516.6897624461,2544.820206764055
4,"pH,K_uM,SO4_uM,Cl_uM",2509.198764737604,2531.9385257629874,2560.067079391853
4,"DOC_M,DIC_mM,Ca_uM,Mg_uM",2364.581387452093,2387.3211484774765,2415.480988856622
4,"DOC_M,DIC_mM,Ca_uM,Na_uM",2340.143078989918,2362.8828400153016,2391.0426753650468
4,"DOC_M,DIC_mM,Ca_uM,K_uM",2727.506853564249,2750.2466145896324,2778.406455270233
4,"DOC_M,DIC_mM,Ca_uM,SO4_uM",2631.6626396379193,2654.4024006633026,2682.562241131586
4,"DOC_M,DIC_mM,Ca_uM,Cl_uM",1973.2424203424735,1995.982181367857,2024.142019317678
4,"DOC_M,DIC_mM,Mg_uM,Na_uM",2508.999889844892,2531.7396508702755,2559.8994912976164
4,"DOC_M,DIC_mM,Mg_uM,K_uM",2042.2602477174717,2065.0000087428552,2093.1598473734066
4,"DOC_M,DIC_mM,Mg_uM,SO4_uM",2486.745238867964,2509.4849998933473,2537.64484056051
4,"DOC_M,DIC_mM,Mg_uM,Cl_uM",777.71661635727,800.4563773826535,828.6162170180698
4,"DOC_M,DIC_mM,Na_uM,K_uM",1487.0293297048008,1509.7690907301844,1537.9289290224804
4,"DOC_M,DIC_mM,Na_uM,SO4_uM",2494.894557392326,2517.6343184177094,2545.794159096615
4,"DOC_M,DIC_mM,Na_uM,Cl_uM",1944.5918058209097,1967.3315668462933,1995.4914069325914
4,"DOC_M,DIC_mM,K_uM,SO4_uM",2724.7656817719185,2747.505442797302,2775.6652834805327
4,"DOC_M,DIC_mM,K_uM,Cl_uM",1644.8939587038835,1667.6337197292671,1695.7935587833026
4,"DOC_M,DIC_mM,SO4_uM,Cl_uM",2255.0548824395,2277.7946434648834,2305.9544841092356
4,"DOC_M,Ca_uM,Mg_uM,Na_uM",2330.535980148934,2353.2757411743173,2381.4355817161795
4,"DOC_M,Ca_uM,Mg_uM,K_uM",2219.946442984495,2242.6862040098786,2270.8460437942304
4,"DOC_M,Ca_uM,Mg_uM,SO4_uM",2675.9804998419945,2698.720260867378,2726.8800845769333
4,"DOC_M,Ca_uM,Mg_uM,Cl_uM",2133.2420901026658,2155.981851128049,2184.1416914132237
4,"DOC_M,Ca_uM,Na_uM,K_uM",2402.9362439183105,2425.676004943694,2453.835845573824
4,"DOC_M,Ca_uM,Na_uM,SO4_uM",2396.230675684717,2418.9704367101003,2447.1302742569674
4,"DOC_M,Ca_uM,Na_uM,Cl_uM",2373.6803786785936,2396.420139703977,2424.5799802784904
4,"DOC_M,Ca_uM,K_uM,SO4_uM",2477.128906694169,2499.8686677195524,2528.0285067491195
4,"DOC_M,Ca_uM,K_uM,Cl_uM",2328.709718672657,2351.4494796980402,2379.6093203545347
4,"DOC_M,Ca_uM,SO4_uM,Cl_uM",2322.6243877462484,2345.364148771632,2373.523989125296
4,"DOC_M,Mg_uM,Na_uM,K_uM",1799.6710642127287,1822.4108252381122,1850.5706645359232
4,"DOC_M,Mg_uM,Na_uM,SO4_uM",2500.478524543602,2523.2182855689853,2551.3781262525717
4,"DOC_M,Mg_uM,Na_uM,Cl_uM",2122.6286169385953,2145.3683779639787,2173.5282185821534
